Organization Name,Organization Name URL,Industry Groups,Number of Employees,Industries,Headquarters Location,Description,CB Rank (Organization),Stage,CB Rank (Company),Website,Contact Email,LinkedIn,Phone Number,Last Funding Date,Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD)
Planbase,https://www.crunchbase.com/organization/planbase-89a5,"Health Care, Software",1-10,"Health Care, SaaS, Software","San Francisco, California, United States",AI employment management for heathcare,"13,515",,"11,844",https://www.joinplanbase.com,info@joinplanbase.com,https://www.linkedin.com/company/joinplanbase,,2025-11-04,Seed,2100000,USD,2100000
OxiWear,https://www.crunchbase.com/organization/oxiwear,"Consumer Electronics, Hardware, Health Care, Sports",1-10,"Fitness, Medical Device, Wearables","Arlington, Virginia, United States",OxiWear is  an ear wearable device that continuously monitors the oxygen levels and alerts the wearer when their oxygen levels falls too low,"13,595",,"11,921",https://oxiwear.com,info@oxiwear.com,https://www.linkedin.com/company/oxiwear/,+1 571-212-7526,2024-10-15,Grant,50000,USD,50000
io Health,https://www.crunchbase.com/organization/io-health-531b,"Apps, Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Apps, Artificial Intelligence (AI), Health Care, Software","Pasadena, California, United States",Io Health Technologies LLC provides AI-driven tools for home health documentation and workflow automation in healthcare.,"13,622",,"11,942",https://iohealthtech.com,,https://www.linkedin.com/company/io-health-tech,,2025-10-07,Seed,2000000,USD,2000000
MARAbio,https://www.crunchbase.com/organization/marabio,"Biotechnology, Data and Analytics, Design, Health Care, Science and Engineering",1-10,"Biotechnology, Medical, Product Research","Salt Lake City, Utah, United States",MARAbio is a biotech firm that works to detect and prevent severe forms of Autism.,"13,631",,"11,951",https://www.marabio.com,info@marabio.com,https://www.linkedin.com/company/marabio-inc,,2024-10-07,Series A,19058971,USD,19058971
NextGen Jane,https://www.crunchbase.com/organization/nextgen-jane,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Medical","Oakland, California, United States",NextGen Jane is a data-driven women's health company.,"13,633",,"11,953",http://www.nextgenjane.com,jane@nextgenjane.com,https://www.linkedin.com/company/nextgen-jane-inc.,+1 415 722 2226,2025-05-08,Grant,2200000,USD,2200000
RoxFit,https://www.crunchbase.com/organization/roxfit,"Health Care, Sports",1-10,"Fitness, Wellness","York, Pennsylvania, United States",RoxFit is the best HYROX workout tracker for preparation and performance on race day.,"13,664",,"11,981",https://www.roxfit.app,,https://www.linkedin.com/company/roxfitapp,,2026-03-04,Seed,1900000,GBP,2531841
Biom,https://www.crunchbase.com/organization/biom-e9ee,"Consumer Goods, Health Care, Real Estate",1-10,"Consumer Goods, Health Care, Home Decor, Personal Health, Wellness","Charleston, South Carolina, United States",Biom is a wellness company that offers sustainable home care and personal care products.,"13,731",,"12,041",http://www.getbiom.co,partners@getbiom.co,,,2022-01-01,Seed,1000000,USD,1000000
Clarametyx Biosciences,https://www.crunchbase.com/organization/clarametyx-biosciences,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Medical, Pharmaceutical","Columbus, Ohio, United States",Clarametyx Biosciences is a biotechnology company that develops immune-enabling biologic therapies.,"13,742",,"12,051",https://clarametyx.com/,info@clarametyx.com,https://www.linkedin.com/company/clarametyx-biosciences/,614.686.2689,2025-10-07,Series A,850000,USD,850000
Stardust,https://www.crunchbase.com/organization/stardust-e0bd,"Apps, Artificial Intelligence (AI), Data and Analytics, Health Care, Mobile, Platforms, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Consumer Software, Health Care, iOS, Machine Learning, Mobile Apps, Software","New York, New York, United States","Stardust is a cycle tracker that integrates science, ancient wisdom, astronomy and AI","13,747",,"12,056",https://stardust.app/,,https://www.linkedin.com/company/stardustapp/,,2023-12-01,Seed,3500000,USD,3500000
Nexa,https://www.crunchbase.com/organization/nexa-9c25,"Agriculture and Farming, Health Care, Manufacturing",1-10,"AgTech, Livestock, Manufacturing, Medical Device","San Francisco, California, United States",Nexa builds implantable microchips for cattle monitoring and health management.,"13,819",,"12,123",https://nexa.farm,admin@nexa.farm,https://www.linkedin.com/company/nexafarm,,2025-09-09,Pre-Seed,500000,USD,500000
Hugemed,https://www.crunchbase.com/organization/hugemed,Health Care,1-10,"Hospital, Medical, Medical Device","Shenzhen, Guangdong, China",Hugemed manufactures of medical devices and provides solutions in the field of endoscopy.,"13,823",,"12,127",https://hugemed.net/,info@hugemed.net,https://www.linkedin.com/company/shenzhen-hugemed-medical-technical-development-co-ltd/,+86-13802557602,2026-03-30,Series C,,,
Actithera,https://www.crunchbase.com/organization/actithera,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Life Science, Medical, Therapeutics","Cambridge, Massachusetts, United States",Actithera is a molecular radiotherapeutic company that develops radioligand therapies.,"13,824",,"12,128",https://actithera.com/,info@actithera.com,https://www.linkedin.com/company/actithera/,+1-617-780-8045,2025-07-09,Series A,75500000,USD,75500000
Juicebox,https://www.crunchbase.com/organization/juicebox-71af,"Health Care, Software",1-10,"Consumer Software, Health Care, Wellness","San Francisco, California, United States","Juicebox is making a more pleasurable world by providing 1-on-1 sex, dating, and relationship coaching anonymously via an app.","13,840",,"12,143",https://www.juiceboxit.com,info@juiceboxit.com,https://www.linkedin.com/company/juicebox-it/,,2020-11-03,Seed,,,
Wellness,https://www.crunchbase.com/organization/wellness-72fd,"Health Care, Mobile",1-10,"Health Care, Health Diagnostics, mHealth, Personal Health","Shibuya, Kanagawa, Japan","Wellness is a medtech company that provides a personalized healthcare platform, health support, preventive care, and testing services.","13,933",,"12,224",https://company.wellness.jp/,info@wellness.jp,,,2024-04-12,Series A,280000000,JPY,1826782
AlphaTON Capital Corp.,https://www.crunchbase.com/organization/portage-biotech,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Pharmaceutical","Toronto, Ontario, Canada",AlphaTON Capital Corp. operates as a digital asset treasury company.,"13,969",,"12,258",https://alphatoncapital.com,,https://www.linkedin.com/company/portage-biotech-inc,(416) 929-1806,2026-04-09,Post-IPO Debt,43000000,USD,43000000
March Biosciences,https://www.crunchbase.com/organization/march-biosciences,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Life Science, Medical, Therapeutics","Houston, Texas, United States",March Biosciences is a clinical-stage cell therapy company that develops CAR-T cell strategies to address hematological cancers.,"14,063",,"12,341",https://march.bio,info@march.bio,https://www.linkedin.com/company/march-biosciences,,2025-04-29,Grant,200000,USD,200000
Collabree,https://www.crunchbase.com/organization/collabree,"Health Care, Information Technology, Software",1-10,"Health Care, Information Technology, Personal Health, Software","Zürich, Zurich, Switzerland","Mobile healthcare, Therapy adherence, Chronic conditions, Behavioral health, Behavioral economics","14,067",,"12,345",https://www.collabree.com/,hello@collabree.com,https://www.linkedin.com/company/collabree/,,2024-12-20,Convertible Note,250000,CHF,279734
"Sports Data Labs, Inc.",https://www.crunchbase.com/organization/sports-data-labs,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Health Care, Information Technology, Other, Science and Engineering, Software, Sports",1-10,"Analytics, Artificial Intelligence (AI), Data Integration, Health Insurance, Home Health Care, Personal Health, Predictive Analytics, Real Time, Sports","San Francisco, California, United States",Unlock the Value of Human Data®,"14,081",,"12,359",http://www.sportsdatalabs.com,info@sportsdatalabs.com,https://www.linkedin.com/company/sports-data-labs,,2019-04-16,Venture - Series Unknown,4800000,USD,4800000
Cyclerion Therapeutics,https://www.crunchbase.com/organization/cyclerion-therapeutics-inc,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Pharmaceutical","Cambridge, Massachusetts, United States",Cyclerion Therapeutics harnesses the potential of soluble guanylate cyclase (sGC) pharmacology.,"14,315",,"12,568",https://www.cyclerion.com/,,https://www.linkedin.com/company/cyclerion,(857) 327-8778,2023-05-25,Post-IPO Equity,5000000,USD,5000000
Wisdom.io,https://www.crunchbase.com/organization/wisdom-io,"Health Care, Software",1-10,"Elder Care, Software","New York, New York, United States",Wisdom is a privacy-preserving smart home care system designed for older adults and their trusted circle of caregivers.,"14,327",,"12,580",https://www.mywisdom.io,info@mywisdom.io,https://www.linkedin.com/company/wisdom-io,9733424942,2026-01-02,Pre-Seed,390000,USD,390000
Grapefruit Health,https://www.crunchbase.com/organization/grapefruit-health,"Education, Health Care",1-10,"Health Care, Medical, Training","Chicago, Illinois, United States",Grapefruit Health utilizes a clinical student workforce to perform interactions with patients remotely.,"14,358",,"12,608",https://www.grapefruit.health/,info@grapefruit.health,https://www.linkedin.com/company/grapefruit-health,,2025-08-19,Seed,,,
HealthLeap,https://www.crunchbase.com/organization/healthleap-fe9b,"Food and Beverage, Health Care",1-10,"Health Care, Hospital, Medical, Nutrition, Pharmaceutical, Therapeutics","San Francisco, California, United States",Solving disease-related malnutrition with a mobile clinical assistant for healthcare professionals.,"14,399",,"12,644",https://healthleap.io,team@healthleap.io,https://www.linkedin.com/company/healthleapinc/,,2022-01-06,Pre-Seed,1100000,USD,1100000
Tempty Foods,https://www.crunchbase.com/organization/tempty-foods,"Food and Beverage, Health Care",1-10,"Alternative Protein, Food and Beverage, Food Processing, Nutrition","Copenhagen, Hovedstaden, Denmark","Tempty Foods provides healthy, and sustainable protein-rich food products based on mycelium.","14,401",,"12,646",https://www.tempty-foods.com/,info@tempty-foods.com,https://www.linkedin.com/company/tempty-foods/,+45 91 81 13 05,2026-03-20,Seed,5200000,DKK,803160
Alpheus Medical,https://www.crunchbase.com/organization/alpheus-medical,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Health Diagnostics, Medical","Oakdale, Pennsylvania, United States",Alpheus Medical provides a novel sonodynamic therapy platform targeting solid body cancers.,"14,469",,"12,712",https://www.alpheusmedical.com,info@alpheusmedical.com,https://www.linkedin.com/company/alpheus-medical-inc/,,2025-05-15,Series B,52000000,USD,52000000
Neuro Therapia,https://www.crunchbase.com/organization/neuro-therapia,"Biotechnology, Health Care, Science and Engineering",1-10,"Health Care, Neuroscience, Pharmaceutical, Therapeutics","Ohio, Illinois, United States",Neuro Therapia is developing new therapies for diseases with an underlying component of neuroinflammation.,"14,491",,"12,730",https://www.neurotherapia.com/,info@neurotherapia.com,https://www.linkedin.com/company/neurotherapia,(216)870-7969,2024-08-06,Series B,12300000,USD,12300000
Beijing Ansong Technology,https://www.crunchbase.com/organization/beijing-ansong-technology,"Education, Health Care",1-10,"Assistive Technology, Emergency Medicine, Medical, Medical Device, Training","Fengtai, Beijing, China","Beijing Ansong Technology Co., Ltd. focuses on the R&D, production, and sales of orthopedic medical devices.","14,498",,"12,737",http://arthrone.com,liyue@arthrone.com,,010-56865336,2026-04-03,Series C,150000000,CNY,21803910
Siren Biotechnology,https://www.crunchbase.com/organization/siren-biotechnology,"Biotechnology, Data and Analytics, Design, Health Care, Science and Engineering",1-10,"Biotechnology, Medical, Product Research","San Francisco, California, United States",Siren Biotechnology blends two revolutionary therapeutic technologies into one for a novel approach to treating cancer.,"14,510",,"12,748",https://sirenbiotechnology.com,contact@sirenbiotechnology.com,https://www.linkedin.com/company/siren-biotechnology-inc,,2024-06-04,Grant,,,
IndyGeneUS AI,https://www.crunchbase.com/organization/indygeneus-ai,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Life Science, Medical","Washington, District of Columbia, United States",IndyGeneUS AI is a genomics company building a digital blockchain-encrypted bio-bank.,"14,560",,"12,794",https://indygeneus.ai/,info@indygeneus.ai,https://www.linkedin.com/company/indygeneus-ai/,6503466153,2022-12-16,Pre-Seed,50000,USD,50000
Kubera Health,https://www.crunchbase.com/organization/kubera-health,"Financial Services, Health Care, Software",1-10,"Health Care, Health Insurance, Software","New York, New York, United States",SaaS for managing healthcare contracts and payments,"14,563",,"12,797",http://kuberahealth.com,,,,2023-12-22,Pre-Seed,3000000,USD,3000000
